image_name,tags
test_413,clear primary
test_414,cloudy
test_415,clear primary
test_416,agriculture habitation clear road primary cultivation
test_417,agriculture water clear road primary
test_418,clear primary
test_419,partly_cloudy cloudy primary
test_420,agriculture water clear road primary cultivation
test_421,clear primary
test_422,clear primary
test_423,clear primary
test_424,agriculture water clear road primary
test_425,clear primary
test_426,agriculture clear road primary cultivation
test_427,water clear selective_logging road primary
test_428,agriculture clear primary cultivation
test_429,agriculture clear primary cultivation
test_430,agriculture clear primary cultivation
test_431,water clear road primary
test_432,clear primary
test_433,clear primary
test_434,agriculture clear road primary
test_435,agriculture water habitation clear road primary
test_436,water cloudy clear
test_437,clear primary
test_438,agriculture water clear road primary cultivation
test_439,agriculture clear road primary
test_440,agriculture partly_cloudy primary
test_441,clear primary
test_442,agriculture water clear road primary cultivation
test_443,agriculture partly_cloudy water habitation clear road primary
test_444,agriculture partly_cloudy road primary
test_445,clear primary
test_446,cloudy haze primary
test_447,agriculture water clear primary
test_448,agriculture habitation clear road primary cultivation
test_449,water haze primary
test_450,partly_cloudy clear primary
test_451,agriculture partly_cloudy water cloudy road primary
test_452,haze clear primary
test_453,clear primary
test_454,clear primary
test_455,clear primary
test_456,cloudy
test_457,agriculture partly_cloudy water road primary
test_458,agriculture water habitation clear road primary
test_459,clear primary
test_460,agriculture clear primary cultivation
test_461,agriculture habitation clear road primary
test_462,clear primary
test_463,clear primary
test_464,partly_cloudy clear primary
test_465,agriculture clear road primary cultivation
test_466,agriculture clear primary cultivation
test_467,agriculture clear primary
test_468,agriculture water clear primary
test_469,agriculture clear primary cultivation
test_470,clear primary
test_471,clear primary
test_472,partly_cloudy primary
test_473,agriculture water habitation clear road primary
test_474,partly_cloudy clear primary
test_475,clear primary
test_476,cloudy
test_477,agriculture habitation clear road primary cultivation
test_478,agriculture water habitation clear road primary
test_479,cloudy haze primary
test_480,agriculture habitation clear road primary cultivation
test_481,clear primary
test_482,clear primary
test_483,partly_cloudy primary
test_484,agriculture partly_cloudy water habitation clear road primary
test_485,clear primary
test_486,clear primary
test_487,agriculture partly_cloudy water habitation clear road primary
test_488,clear primary
test_489,agriculture water clear road primary
test_490,agriculture clear primary cultivation
test_491,agriculture water habitation clear road primary
test_492,clear primary
test_493,water clear primary
test_494,agriculture clear primary
test_495,clear primary
test_496,agriculture clear primary cultivation
test_497,agriculture habitation clear road primary cultivation
test_498,clear primary
test_499,clear primary
test_500,clear primary
test_501,clear primary
test_502,clear primary
test_503,agriculture clear road primary
test_504,partly_cloudy primary
test_505,agriculture habitation clear road primary
test_506,clear primary
test_507,cloudy haze primary
test_508,agriculture water habitation clear road primary cultivation
test_509,clear primary
test_510,artisinal_mine water clear road primary
test_511,agriculture habitation clear road primary
test_512,haze primary
test_513,clear primary
test_514,agriculture partly_cloudy haze primary cultivation
test_515,partly_cloudy primary
test_516,clear primary
test_517,agriculture water habitation clear road primary
test_518,agriculture partly_cloudy water habitation clear road primary cultivation
test_519,agriculture water clear road primary
test_520,cloudy
test_521,partly_cloudy primary
test_522,agriculture clear road primary
test_523,partly_cloudy clear primary
test_524,agriculture haze primary cultivation
test_525,clear primary
test_526,agriculture water habitation clear road primary
test_527,water clear road primary
test_528,agriculture habitation clear road primary
test_529,partly_cloudy primary
test_530,agriculture water haze clear road primary
test_531,agriculture water haze clear road primary
test_532,clear primary
test_533,clear primary
test_534,clear primary
test_535,clear primary
test_536,water cloudy clear primary
test_537,agriculture partly_cloudy clear primary
test_538,clear primary
test_539,agriculture partly_cloudy primary cultivation
test_540,agriculture water clear road primary
test_541,agriculture clear road primary
test_542,agriculture water clear road primary
test_543,clear primary
test_544,agriculture water habitation clear road primary cultivation
test_545,clear primary
test_546,agriculture water clear road primary
test_547,clear primary
test_548,partly_cloudy primary
test_549,agriculture water haze road primary
test_550,agriculture partly_cloudy water habitation clear road primary
test_551,agriculture partly_cloudy habitation road primary
test_552,agriculture clear primary
test_553,agriculture water clear road primary
test_554,clear primary
test_555,agriculture water clear road primary
test_556,cloudy
test_557,clear primary
test_558,agriculture partly_cloudy cloudy primary
test_559,clear primary
test_560,clear primary
test_561,partly_cloudy primary
test_562,agriculture habitation clear road primary cultivation
test_563,agriculture clear primary cultivation
test_564,agriculture water habitation clear road primary
test_565,partly_cloudy primary
test_566,clear primary
test_567,partly_cloudy primary
test_568,agriculture water habitation clear road primary
test_569,water clear primary
test_570,partly_cloudy clear primary
test_571,clear primary
test_572,agriculture partly_cloudy primary
test_573,agriculture water clear primary
test_574,clear primary
test_575,clear primary
test_576,clear primary
test_577,clear primary
test_578,haze clear primary
test_579,clear primary
test_580,agriculture habitation clear road primary
test_581,agriculture water clear road primary cultivation
test_582,agriculture water clear road primary cultivation
test_583,agriculture clear road primary
test_584,agriculture water clear primary
test_585,water clear road primary
test_586,agriculture water clear road primary
test_587,agriculture habitation clear road primary cultivation
test_588,clear primary
test_589,partly_cloudy primary
test_590,clear primary
test_591,agriculture habitation clear road primary
test_592,agriculture habitation clear road primary cultivation
test_593,clear primary
test_594,agriculture clear road primary cultivation
test_595,agriculture partly_cloudy water primary
test_596,artisinal_mine water clear road primary
test_597,agriculture partly_cloudy habitation clear primary cultivation
test_598,agriculture partly_cloudy road primary cultivation
test_599,clear primary
test_600,partly_cloudy clear primary
test_601,agriculture haze clear primary cultivation
test_602,cloudy
test_603,clear primary
test_604,water cloudy clear
test_605,partly_cloudy primary
test_606,agriculture clear road primary
test_607,partly_cloudy primary
test_608,agriculture habitation clear road primary cultivation
test_609,haze clear primary
test_610,clear primary
test_611,agriculture water habitation clear road primary cultivation
test_612,clear primary
test_613,partly_cloudy cloudy primary
test_614,clear primary
test_615,agriculture water clear primary cultivation
test_616,clear primary
test_617,clear primary
test_618,clear primary
test_619,artisinal_mine water habitation clear road primary
test_620,agriculture clear road primary cultivation
test_621,agriculture clear primary cultivation
test_622,agriculture habitation clear road primary cultivation
test_623,clear primary
test_624,clear primary
test_625,clear primary
test_626,clear primary
test_627,agriculture clear primary cultivation
test_628,clear primary
test_629,clear primary
test_630,agriculture water habitation clear road primary
test_631,agriculture water haze road primary
test_632,cloudy haze
test_633,water clear road primary
test_634,agriculture clear road primary
test_635,clear primary
test_636,clear primary
test_637,clear primary
test_638,clear primary
test_639,agriculture clear primary cultivation
test_640,clear primary
test_641,agriculture water habitation clear road primary
test_642,artisinal_mine agriculture water clear bare_ground road primary
test_643,agriculture water clear primary cultivation
test_644,clear primary
test_645,partly_cloudy primary
test_646,partly_cloudy primary
test_647,agriculture habitation clear road primary cultivation
test_648,agriculture habitation clear road primary
test_649,agriculture water habitation clear road primary
test_650,agriculture water clear bare_ground road primary
test_651,agriculture water habitation clear road primary
test_652,clear primary
test_653,agriculture partly_cloudy water habitation clear road primary cultivation
test_654,cloudy haze primary
test_655,clear primary
test_656,clear primary
test_657,agriculture partly_cloudy water habitation road primary cultivation
test_658,water clear road primary
test_659,clear primary
test_660,clear primary
test_661,clear primary
test_662,agriculture partly_cloudy haze primary
test_663,partly_cloudy water clear primary
test_664,cloudy
test_665,clear primary
test_666,clear primary
test_667,clear primary
test_668,agriculture water clear primary
test_669,clear primary
test_670,agriculture partly_cloudy water habitation road primary
test_671,agriculture clear road primary
test_672,clear primary
test_673,haze clear primary
test_674,partly_cloudy primary
test_675,haze primary
test_676,agriculture habitation clear road primary cultivation
test_677,partly_cloudy clear primary
test_678,agriculture clear road primary
test_679,cloudy haze primary
test_680,agriculture clear primary cultivation
test_681,clear primary
test_682,clear primary
test_683,partly_cloudy primary
test_684,clear primary
test_685,agriculture water habitation clear road primary cultivation
test_686,clear primary
test_687,cloudy
test_688,agriculture clear road primary
test_689,agriculture water habitation clear road primary cultivation
test_690,clear primary
test_691,agriculture partly_cloudy clear primary cultivation
test_692,haze primary
test_693,agriculture water clear primary
test_694,agriculture habitation clear road primary cultivation
test_695,agriculture clear primary cultivation
test_696,agriculture water clear primary
test_697,agriculture partly_cloudy primary
test_698,water clear primary
test_699,agriculture clear road primary cultivation
test_700,cloudy
test_701,agriculture water habitation clear road primary
test_702,cloudy
test_703,clear primary
test_704,clear primary
test_705,water clear primary
test_706,clear primary
test_707,agriculture water clear road primary
test_708,clear primary
test_709,cloudy
test_710,clear primary
test_711,clear primary
test_712,partly_cloudy primary
test_713,clear primary
test_714,agriculture water habitation cloudy clear road primary
test_715,partly_cloudy primary
test_716,clear primary
test_717,clear primary
test_718,agriculture clear road primary cultivation
test_719,clear primary
test_720,agriculture water habitation clear road primary cultivation
test_721,clear primary
test_722,clear primary
test_723,artisinal_mine agriculture partly_cloudy water habitation clear road primary cultivation
test_724,agriculture clear road primary
test_725,artisinal_mine agriculture water habitation clear road primary
test_726,clear primary
test_727,agriculture partly_cloudy water habitation road primary
test_728,clear primary
test_729,agriculture water clear primary cultivation
test_730,agriculture clear primary cultivation
test_731,clear primary
test_732,agriculture clear primary
test_733,clear primary
test_734,clear primary
test_735,agriculture clear road primary cultivation
test_736,agriculture clear road primary
test_737,agriculture water clear road primary
test_738,agriculture partly_cloudy habitation clear road primary
test_739,agriculture water clear road primary cultivation
test_740,agriculture clear primary cultivation
test_741,agriculture partly_cloudy water primary
test_742,clear primary
test_743,clear primary
test_744,agriculture habitation clear road primary cultivation
test_745,clear primary
test_746,partly_cloudy cloudy haze primary
test_747,agriculture water haze clear road primary
test_748,clear primary
test_749,partly_cloudy primary
test_750,agriculture water habitation clear road primary
test_751,clear primary
test_752,cloudy haze primary
test_753,clear primary
test_754,cloudy haze primary
test_755,haze primary
test_756,agriculture water habitation clear road primary
test_757,clear primary
test_758,cloudy
test_759,agriculture partly_cloudy water haze road primary
test_760,clear primary
test_761,partly_cloudy primary
test_762,clear primary
test_763,agriculture water clear bare_ground primary
test_764,agriculture partly_cloudy water habitation clear road primary
test_765,clear primary
test_766,clear primary
test_767,agriculture water habitation clear road primary
test_768,clear primary
test_769,cloudy haze primary
test_770,agriculture clear road primary cultivation
test_771,agriculture clear primary cultivation
test_772,agriculture partly_cloudy water road primary
test_773,agriculture partly_cloudy water primary
test_774,agriculture clear primary cultivation
test_775,agriculture water clear primary
test_776,water clear road primary
test_777,agriculture water habitation clear road primary
test_778,agriculture habitation clear road primary cultivation
test_779,clear primary
test_780,clear primary
test_781,agriculture habitation clear road primary
test_782,agriculture partly_cloudy water clear road primary
test_783,cloudy
test_784,agriculture clear road primary cultivation
test_785,partly_cloudy primary
test_786,partly_cloudy clear primary
test_787,agriculture clear road primary cultivation
test_788,cloudy
test_789,partly_cloudy primary
test_790,agriculture water clear road primary
test_791,agriculture water clear primary cultivation
test_792,clear primary
test_793,partly_cloudy primary
test_794,agriculture water clear primary
test_795,artisinal_mine water clear road primary
test_796,clear primary
test_797,partly_cloudy primary
test_798,agriculture partly_cloudy water road primary
test_799,clear primary
test_800,clear primary
test_801,agriculture partly_cloudy clear road primary
test_802,agriculture habitation clear road primary
test_803,agriculture clear primary cultivation
test_804,haze clear primary
test_805,clear primary
test_806,clear primary
test_807,agriculture habitation clear road primary
test_808,clear primary
test_809,partly_cloudy clear primary
test_810,agriculture partly_cloudy road primary
test_811,clear primary
test_812,agriculture water clear primary cultivation
test_813,clear primary
test_814,water clear primary
test_815,clear primary
test_816,water clear primary
test_817,cloudy
test_818,agriculture water habitation clear road primary
test_819,water cloudy clear primary
test_820,clear primary
test_821,agriculture clear road primary
test_822,clear primary
test_823,cloudy
test_824,clear primary
test_825,agriculture water haze clear primary
test_826,agriculture water clear road primary
test_827,clear primary
test_828,agriculture water clear primary
test_829,clear primary
test_830,water cloudy haze primary
test_831,clear primary
test_832,agriculture partly_cloudy water primary
test_833,partly_cloudy primary
test_834,clear primary
test_835,clear primary
test_836,clear primary
test_837,water clear primary
test_838,agriculture habitation clear road primary
test_839,clear primary
test_840,clear selective_logging road primary
test_841,water clear primary
test_842,clear primary
test_843,cloudy haze primary
test_844,agriculture water habitation haze clear road primary
test_845,agriculture clear road primary
test_846,agriculture water habitation clear road primary
test_847,agriculture clear primary
test_848,cloudy
test_849,cloudy
test_850,agriculture water clear road primary
test_851,clear primary
test_852,partly_cloudy haze primary
test_853,agriculture water clear primary
test_854,agriculture water clear primary cultivation
test_855,clear primary
test_856,agriculture clear primary cultivation
test_857,partly_cloudy water clear primary
test_858,agriculture water clear primary
test_859,agriculture clear primary cultivation
test_860,clear primary
test_861,clear primary
test_862,partly_cloudy clear primary
test_863,clear primary
test_864,clear primary
test_865,cloudy
test_866,agriculture partly_cloudy water primary
test_867,cloudy
test_868,clear primary
test_869,clear primary
test_870,agriculture water clear primary cultivation
test_871,partly_cloudy primary
test_872,agriculture water clear road primary
test_873,clear primary
test_874,clear primary
test_875,partly_cloudy primary
test_876,clear primary
test_877,agriculture partly_cloudy habitation clear road primary cultivation
test_878,agriculture partly_cloudy habitation clear road primary cultivation
test_879,agriculture water clear road primary cultivation
test_880,clear primary
test_881,agriculture water clear primary cultivation
test_882,clear primary
test_883,cloudy haze primary
test_884,clear primary
test_885,clear primary
test_886,agriculture water haze clear primary
test_887,agriculture partly_cloudy habitation clear road primary cultivation
test_888,partly_cloudy primary
test_889,haze primary
test_890,water clear road primary
test_891,agriculture clear road primary cultivation
test_892,partly_cloudy primary
test_893,partly_cloudy cloudy primary
test_894,water clear road primary
test_895,agriculture clear bare_ground road primary
test_896,water clear primary
test_897,cloudy haze primary
test_898,cloudy
test_899,agriculture water habitation clear road primary
test_900,agriculture clear road primary
test_901,clear primary
test_902,cloudy haze primary
test_903,agriculture partly_cloudy habitation primary cultivation
test_904,agriculture partly_cloudy habitation clear road primary cultivation
test_905,clear primary
test_906,agriculture clear road primary
test_907,clear primary
test_908,clear primary
test_909,agriculture clear primary cultivation
test_910,cloudy
test_911,clear primary
test_912,agriculture clear primary cultivation
test_913,agriculture clear road primary cultivation
test_914,agriculture water haze clear primary
test_915,clear primary
test_916,clear primary
test_917,agriculture water haze road primary
test_918,clear primary
test_919,haze primary
test_920,clear primary
test_921,cloudy haze primary
test_922,cloudy
test_923,agriculture clear road primary
test_924,cloudy
test_925,cloudy haze primary
test_926,agriculture water habitation clear road primary
test_927,agriculture water clear primary
test_928,agriculture water clear road primary
test_929,partly_cloudy clear primary
test_930,water clear selective_logging road primary
test_931,clear primary
test_932,clear primary
test_933,clear primary
test_934,agriculture partly_cloudy primary
test_935,agriculture water clear road primary
test_936,agriculture clear primary cultivation
test_937,cloudy haze primary
test_938,water clear primary
test_939,water clear selective_logging road primary
test_940,clear primary
test_941,agriculture clear road primary
test_942,agriculture clear road primary
test_943,partly_cloudy primary
test_944,cloudy
test_945,clear primary
test_946,agriculture water clear road primary
test_947,partly_cloudy primary
test_948,agriculture clear primary
test_949,agriculture clear primary cultivation
test_950,agriculture partly_cloudy water road primary
test_951,agriculture water clear road primary
test_952,agriculture habitation clear road primary
test_953,agriculture habitation clear road primary cultivation
test_954,partly_cloudy primary
test_955,water clear primary
test_956,partly_cloudy primary
test_957,agriculture partly_cloudy water cloudy primary
test_958,agriculture habitation haze clear road primary
test_959,cloudy haze primary
test_960,partly_cloudy primary
test_961,agriculture partly_cloudy habitation road primary cultivation
test_962,clear primary
test_963,agriculture clear road primary cultivation
test_964,clear primary
test_965,clear primary
test_966,clear primary
test_967,clear primary
test_968,agriculture water clear primary cultivation
test_969,clear primary
test_970,clear primary
test_971,clear primary
test_972,agriculture clear primary cultivation
test_973,agriculture partly_cloudy habitation clear road primary cultivation
test_974,agriculture clear bare_ground road primary
test_975,clear primary
test_976,agriculture clear primary cultivation
test_977,agriculture water clear primary
test_978,clear primary
test_979,partly_cloudy primary
test_980,agriculture water clear road primary
test_981,agriculture clear primary cultivation
test_982,agriculture clear primary cultivation
test_983,clear primary
test_984,agriculture habitation clear road primary
test_985,agriculture partly_cloudy clear road primary
test_986,clear primary
test_987,clear primary
test_988,clear primary
test_989,agriculture clear primary
test_990,haze primary
test_991,agriculture clear primary cultivation
test_992,agriculture water clear road primary
test_993,agriculture water habitation clear road primary
test_994,water clear road primary
test_995,agriculture water clear road primary cultivation
test_996,clear primary
test_997,clear primary
test_998,haze primary
test_999,clear primary
test_1000,agriculture water clear road primary
test_1001,clear primary
test_1002,clear primary
test_1003,artisinal_mine water clear road primary
test_1004,agriculture clear road primary
test_1005,clear primary
